label,src_ip,src_port,dst_ip,dst_port,dst2src_bytes,src2dst_bytes,protocol,bidirectional_duration_ms
udp,10.105.10.61,53448,8.8.8.8,53,121,65,17,81
udp,10.105.11.201,49549,224.0.0.252,5355,0,156,17,415
udp,10.105.11.201,60215,224.0.0.252,5355,0,156,17,415
udp,fe80::8db8:8ebc:e236:794f,49549,ff02::1:3,5355,0,196,17,416
udp,fe80::8db8:8ebc:e236:794f,60215,ff02::1:3,5355,0,196,17,416
udp,10.105.11.201,53052,224.0.0.252,5355,0,156,17,420
udp,fe80::8db8:8ebc:e236:794f,53052,ff02::1:3,5355,0,196,17,420
udp,10.105.11.201,62532,224.0.0.252,5355,0,156,17,419
udp,fe80::8db8:8ebc:e236:794f,62532,ff02::1:3,5355,0,196,17,419
udp,fe80::a861:4965:d154:9a39,64255,ff02::1:3,5355,0,176,17,420
udp,10.105.10.55,64255,224.0.0.252,5355,0,136,17,420
udp,fe80::a861:4965:d154:9a39,63109,ff02::1:3,5355,0,176,17,419
udp,10.105.10.55,63109,224.0.0.252,5355,0,136,17,419
udp,10.105.10.61,53449,8.8.8.8,53,104,80,17,58
udp,10.105.10.61,53450,8.8.8.8,53,82,66,17,118
udp,10.105.10.61,53451,8.8.8.8,53,131,66,17,74
udp,fe80::a861:4965:d154:9a39,57755,ff02::1:3,5355,0,176,17,424
udp,10.105.10.55,57755,224.0.0.252,5355,0,136,17,421
udp,fe80::a861:4965:d154:9a39,60569,ff02::1:3,5355,0,176,17,423
udp,10.105.10.55,60569,224.0.0.252,5355,0,136,17,420
http,10.105.10.61,52625,103.62.50.208,443,0,132,6,1004
udp,10.105.10.55,55047,224.0.0.252,5355,0,136,17,435
udp,10.105.10.55,63640,224.0.0.252,5355,0,136,17,433
udp,fe80::a861:4965:d154:9a39,55047,ff02::1:3,5355,0,176,17,433
udp,fe80::a861:4965:d154:9a39,63640,ff02::1:3,5355,0,176,17,432
tcp,10.105.10.61,52626,10.123.72.53,7680,0,330,6,15031
udp,10.105.10.112,62085,239.255.255.250,1900,0,868,17,3023
udp,10.105.10.61,53452,8.8.8.8,53,104,80,17,53
udp,10.105.10.61,53453,8.8.8.8,53,87,71,17,50
udp,10.105.10.61,53454,8.8.8.8,53,99,71,17,73
udp,10.105.10.69,54144,239.255.255.250,1900,0,868,17,3041
http,10.105.10.61,52627,103.62.50.208,443,0,132,6,1008
udp,10.105.11.201,60495,224.0.0.252,5355,0,156,17,418
udp,10.105.11.201,61448,224.0.0.252,5355,0,156,17,417
udp,fe80::8db8:8ebc:e236:794f,60495,ff02::1:3,5355,0,196,17,417
udp,fe80::8db8:8ebc:e236:794f,61448,ff02::1:3,5355,0,196,17,416
udp,10.105.10.85,62234,239.255.255.250,1900,0,868,17,3020
udp,10.105.11.201,55851,224.0.0.252,5355,0,156,17,415
udp,fe80::8db8:8ebc:e236:794f,55851,ff02::1:3,5355,0,196,17,415
udp,10.105.11.201,49733,224.0.0.252,5355,0,156,17,415
udp,fe80::8db8:8ebc:e236:794f,49733,ff02::1:3,5355,0,196,17,414
udp,10.105.10.104,50359,239.255.255.250,1900,0,864,17,3013
udp,10.105.10.55,61537,224.0.0.252,5355,0,136,17,432
udp,fe80::a861:4965:d154:9a39,61537,ff02::1:3,5355,0,176,17,432
udp,10.105.10.55,63377,224.0.0.252,5355,0,136,17,431
udp,fe80::a861:4965:d154:9a39,63377,ff02::1:3,5355,0,176,17,431
udp,10.105.10.60,50797,239.255.255.250,1900,0,868,17,3008
udp,10.105.10.71,61418,10.105.10.7,161,0,120,17,0
udp,fe80::8db8:8ebc:e236:794f,61833,ff02::1:3,5355,0,196,17,416
udp,10.105.11.201,61833,224.0.0.252,5355,0,156,17,416
udp,10.105.11.201,53630,224.0.0.252,5355,0,156,17,415
udp,fe80::8db8:8ebc:e236:794f,53630,ff02::1:3,5355,0,196,17,414
http,10.105.10.61,52628,103.62.50.208,443,0,132,6,1009
udp,10.105.11.201,63433,224.0.0.252,5355,0,156,17,415
udp,fe80::8db8:8ebc:e236:794f,63433,ff02::1:3,5355,0,196,17,414
udp,10.105.11.201,60928,224.0.0.252,5355,0,156,17,415
udp,fe80::8db8:8ebc:e236:794f,60928,ff02::1:3,5355,0,196,17,413
udp,fe80::a861:4965:d154:9a39,55796,ff02::1:3,5355,0,176,17,420
udp,10.105.10.55,55796,224.0.0.252,5355,0,136,17,420
udp,fe80::a861:4965:d154:9a39,58675,ff02::1:3,5355,0,176,17,419
udp,10.105.10.55,58675,224.0.0.252,5355,0,136,17,419
